Année;Diesel;Essence;Autres;Emissions
2016;117.0;25.0;0.76;Cu
2017;117.0;26.0;0.85;Cu
2018;115.0;28.0;0.98;Cu
2010;38.0;13.0;0.19;Pb
2011;41.0;13.0;0.23;Pb
2012;41.0;12.0;0.23;Pb
2013;41.0;11.0;0.22;Pb
2014;41.0;11.0;0.22;Pb
2015;42.0;11.0;0.23;Pb
2016;42.0;12.0;0.25;Pb
2017;42.0;12.0;0.28;Pb
2018;40.0;13.0;0.32;Pb
2010;210.36;61.5;1.04;Zn
2011;219.74;59.36;1.28;Zn
2012;220.77;54.62;1.24;Zn
2013;225.34;53.62;1.22;Zn
2014;227.55;53.53;1.2;Zn
2015;231.05;54.2;1.21;Zn
2016;235.67;55.8;1.25;Zn
2017;233.96;57.58;1.31;Zn
2018;229.08;60.64;1.45;Zn
2010;3.1;0.29;0.0;HAP
2011;2.9;0.27;0.0;HAP
2012;2.8;0.25;0.0;HAP
2013;2.7;0.25;0.0;HAP
2014;2.6;0.25;0.0;HAP
2015;2.5;0.25;0.0;HAP
2016;2.4;0.26;0.0;HAP
2017;2.3;0.27;0.0;HAP
2018;2.2;0.28;0.0;HAP
2010;25.51;2.38;0.04;PCDD-F
2011;24.81;2.08;0.04;PCDD-F
2012;23.34;1.78;0.04;PCDD-F
2013;21.61;1.62;0.03;PCDD-F
2014;19.94;1.5;0.03;PCDD-F
2015;18.52;1.4;0.02;PCDD-F
2016;17.12;1.34;0.02;PCDD-F
2017;15.25;1.3;0.02;PCDD-F
2018;13.39;1.28;0.01;PCDD-F
2010;1.0;0.0;0.01;SO2
2011;1.0;0.0;0.01;SO2
2012;1.0;0.0;0.01;SO2
2013;1.0;0.0;0.01;SO2
2014;1.0;0.0;0.01;SO2
2015;1.0;0.0;0.01;SO2
2016;1.0;0.0;0.01;SO2
2017;1.0;0.0;0.01;SO2
2018;1.0;0.0;0.01;SO2
2010;1.0;0.28;0.005;Ni
2011;1.05;0.27;0.006;Ni
2012;1.05;0.25;0.006;Ni
2013;1.07;0.25;0.006;Ni
2014;1.08;0.25;0.006;Ni
2015;1.1;0.25;0.006;Ni
2016;1.12;0.26;0.006;Ni
2017;1.11;0.27;0.007;Ni
2018;1.09;0.28;0.008;Ni
2010;1346.0;2740.0;0.0;benzène
2011;1191.0;2255.0;0.0;benzène
2012;1054.0;1974.0;0.0;benzène
2013;904.0;1772.0;0.0;benzène
2014;777.0;1571.0;0.0;benzène
2015;696.0;1527.0;0.0;benzène
2016;597.0;1424.0;0.0;benzène
2017;529.0;1342.0;0.0;benzène
2018;441.0;1249.0;0.0;benzène
