Année;Diesel;Essence;Electriques;Emissions
1998;19.0;0.17;0.0;PM1
1999;18.0;0.15;0.0;PM1
2000;17.0;0.12;0.0;PM1
2001;16.0;0.08;0.0;PM1
2002;15.0;0.08;0.0;PM1
2003;15.0;0.08;0.0;PM1
2004;14.0;0.08;0.0;PM1
2005;12.0;0.07;0.0;PM1
2006;11.0;0.08;0.0;PM1
2007;10.0;0.08;0.0;PM1
2008;9.0;0.06;0.0;PM1
2009;8.0;0.06;0.0;PM1
1990;10.0;0.12;0.0;BC
1991;12.0;0.11;0.0;BC
1992;13.0;0.1;0.0;BC
1993;14.0;0.09;0.0;BC
1994;14.0;0.08;0.0;BC
1995;14.0;0.07;0.0;BC
1996;14.0;0.06;0.0;BC
1997;13.0;0.06;0.0;BC
1998;12.0;0.05;0.0;BC
1999;12.0;0.05;0.0;BC
2000;11.0;0.04;0.0;BC
2001;11.0;0.04;0.0;BC
2002;11.0;0.03;0.0;BC
2003;11.0;0.03;0.0;BC
2004;10.0;0.03;0.0;BC
2005;8.8;0.03;0.0;BC
2006;8.2;0.04;0.0;BC
2007;7.7;0.04;0.0;BC
2008;7.1;0.03;0.0;BC
2009;6.9;0.03;0.0;BC
1990;0.09;0.06;0.0;du
1991;0.1;0.06;0.0;du
1992;0.1;0.05;0.0;du
1993;0.11;0.04;0.0;du
1994;0.12;0.04;0.0;du
1995;0.12;0.04;0.0;du
1996;0.12;0.03;0.0;du
1997;0.13;0.03;0.0;du
1998;0.13;0.03;0.0;du
1999;0.14;0.03;0.0;du
2000;0.14;0.03;0.0;du
2001;0.14;0.03;0.0;du
2002;0.15;0.03;0.0;du
2003;0.15;0.03;0.0;du
2004;0.15;0.03;0.0;du
2005;0.16;0.03;0.0;du
2006;0.16;0.03;0.0;du
2007;0.16;0.03;0.0;du
2008;0.16;0.03;0.0;du
2009;0.17;0.03;0.0;du
1990;0.03;0.02;0.0;Cd
1991;0.03;0.02;0.0;Cd
1992;0.04;0.02;0.0;Cd
1993;0.04;0.02;0.0;Cd
1994;0.04;0.02;0.0;Cd
1995;0.04;0.02;0.0;Cd
1996;0.05;0.02;0.0;Cd
1997;0.05;0.02;0.0;Cd
1998;0.05;0.01;0.0;Cd
1999;0.05;0.01;0.0;Cd
2000;0.05;0.01;0.0;Cd
2001;0.05;0.01;0.0;Cd
2002;0.05;0.01;0.0;Cd
2003;0.06;0.01;0.0;Cd
2004;0.06;0.01;0.0;Cd
2005;0.06;0.01;0.0;Cd
2006;0.06;0.01;0.0;Cd
2007;0.06;0.01;0.0;Cd
2008;0.06;0.01;0.0;Cd
2009;0.06;0.01;0.0;Cd
1990;0.15;0.07;0.0;Cr
1991;0.17;0.07;0.0;Cr
1992;0.18;0.06;0.0;Cr
1993;0.2;0.05;0.0;Cr
1994;0.21;0.05;0.0;Cr
1995;0.21;0.04;0.0;Cr
1996;0.22;0.04;0.0;Cr
1997;0.23;0.04;0.0;Cr
1998;0.23;0.04;0.0;Cr
1999;0.24;0.04;0.0;Cr
2000;0.24;0.04;0.0;Cr
2001;0.25;0.04;0.0;Cr
2002;0.26;0.04;0.0;Cr
2003;0.27;0.04;0.0;Cr
2004;0.27;0.04;0.0;Cr
2005;0.28;0.03;0.0;Cr
2006;0.29;0.04;0.0;Cr
2007;0.29;0.04;0.0;Cr
2008;0.3;0.03;0.0;Cr
2009;0.3;0.03;0.0;Cr
1990;12.0;11.0;0.0;Cu
1991;14.0;10.0;0.0;Cu
1992;15.0;9.0;0.0;Cu
1993;16.0;8.0;0.0;Cu
1994;17.0;7.0;0.0;Cu
1995;17.0;6.0;0.0;Cu
1996;18.0;6.0;0.0;Cu
1997;18.0;6.0;0.0;Cu
1998;18.0;6.0;0.0;Cu
1999;19.0;6.0;0.0;Cu
2000;19.0;5.0;0.0;Cu
2001;20.0;5.0;0.0;Cu
2002;21.0;5.0;0.0;Cu
2003;22.0;5.0;0.0;Cu
2004;23.0;6.0;0.0;Cu
2005;24.0;6.0;0.0;Cu
2006;25.0;6.0;0.0;Cu
2007;25.0;6.0;0.0;Cu
