Année;Polluant;Fuel;Emissions
2016;PCDD-F;Diesel;12.86
2017;PCDD-F;Diesel;11.5
2018;PCDD-F;Diesel;10.23
2010;SO2;Diesel;0.33
2011;SO2;Diesel;0.34
2012;SO2;Diesel;0.35
2013;SO2;Diesel;0.34
2014;SO2;Diesel;0.35
2015;SO2;Diesel;0.36
2016;SO2;Diesel;0.36
2017;SO2;Diesel;0.35
2018;SO2;Diesel;0.33
2010;Ni;Diesel;0.54
2011;Ni;Diesel;0.56
2012;Ni;Diesel;0.58
2013;Ni;Diesel;0.59
2014;Ni;Diesel;0.6
2015;Ni;Diesel;0.62
2016;Ni;Diesel;0.63
2017;Ni;Diesel;0.61
2018;Ni;Diesel;0.6
2010;benzène;Diesel;436.0
2011;benzène;Diesel;366.0
2012;benzène;Diesel;338.0
2013;benzène;Diesel;280.0
2014;benzène;Diesel;247.0
2015;benzène;Diesel;232.0
2016;benzène;Diesel;200.0
2017;benzène;Diesel;184.0
2018;benzène;Diesel;157.0
2010;NOx;Essence;33.0
2011;NOx;Essence;27.0
2012;NOx;Essence;21.0
2013;NOx;Essence;18.0
2014;NOx;Essence;16.0
2015;NOx;Essence;13.0
2016;NOx;Essence;12.0
2017;NOx;Essence;10.0
2018;NOx;Essence;9.0
2010;COVNM;Essence;48.0
2011;COVNM;Essence;39.0
2012;COVNM;Essence;33.0
2013;COVNM;Essence;29.0
2014;COVNM;Essence;26.0
2015;COVNM;Essence;26.0
2016;COVNM;Essence;24.0
2017;COVNM;Essence;23.0
2018;COVNM;Essence;22.0
2010;CO;Essence;335.0
2011;CO;Essence;258.0
2012;CO;Essence;221.0
2013;CO;Essence;196.0
2014;CO;Essence;160.0
2015;CO;Essence;177.0
2016;CO;Essence;167.0
2017;CO;Essence;159.0
2018;CO;Essence;148.0
2010;PM10;Essence;2.6
2011;PM10;Essence;2.4
2012;PM10;Essence;2.2
2013;PM10;Essence;2.2
2014;PM10;Essence;2.2
2015;PM10;Essence;2.2
2016;PM10;Essence;2.3
2017;PM10;Essence;2.5
2018;PM10;Essence;2.6
2010;PM2,5;Essence;1.6
2011;PM2,5;Essence;1.5
2012;PM2,5;Essence;1.3
2013;PM2,5;Essence;1.3
2014;PM2,5;Essence;1.3
2015;PM2,5;Essence;1.3
2016;PM2,5;Essence;1.4
2017;PM2,5;Essence;1.5
2018;PM2,5;Essence;1.6
2010;PM1;Essence;0.4
2011;PM1;Essence;0.3
2012;PM1;Essence;0.3
2013;PM1;Essence;0.3
2014;PM1;Essence;0.3
2015;PM1;Essence;0.3
2016;PM1;Essence;0.3
2017;PM1;Essence;0.3
2018;PM1;Essence;0.4
2010;BC;Essence;0.17
2011;BC;Essence;0.15
2012;BC;Essence;0.14
2013;BC;Essence;0.14
2014;BC;Essence;0.13
2015;BC;Essence;0.13
2016;BC;Essence;0.14
2017;BC;Essence;0.15
2018;BC;Essence;0.16
2010;du;Essence;0.2
2011;du;Essence;0.2
2012;du;Essence;0.2
2013;du;Essence;0.2
2014;du;Essence;0.2
2015;du;Essence;0.2
2016;du;Essence;0.2
2017;du;Essence;0.2
2018;du;Essence;0.2
2010;Cd;Essence;0.09
2011;Cd;Essence;0.08
2012;Cd;Essence;0.08
2013;Cd;Essence;0.07
2014;Cd;Essence;0.07
2015;Cd;Essence;0.08
2016;Cd;Essence;0.08
2017;Cd;Essence;0.08
2018;Cd;Essence;0.09
2010;Cr;Essence;0.18
2011;Cr;Essence;0.18
2012;Cr;Essence;0.16
2013;Cr;Essence;0.16
2014;Cr;Essence;0.16
2015;Cr;Essence;0.16
2016;Cr;Essence;0.17
2017;Cr;Essence;0.17
2018;Cr;Essence;0.18
2010;Cu;Essence;21.0
2011;Cu;Essence;20.0
2012;Cu;Essence;18.0
2013;Cu;Essence;18.0
2014;Cu;Essence;18.0
2015;Cu;Essence;18.0
2016;Cu;Essence;19.0
2017;Cu;Essence;20.0
2018;Cu;Essence;21.0
2010;Pb;Essence;10.0
2011;Pb;Essence;9.0
2012;Pb;Essence;8.0
2013;Pb;Essence;8.0
2014;Pb;Essence;8.0
2015;Pb;Essence;8.0
2016;Pb;Essence;9.0
2017;Pb;Essence;9.0
2018;Pb;Essence;10.0
2010;Zn;Essence;46.94
2011;Zn;Essence;45.04
2012;Zn;Essence;41.0
2013;Zn;Essence;40.21
2014;Zn;Essence;40.82
2015;Zn;Essence;41.66
2016;Zn;Essence;43.37
2017;Zn;Essence;45.3
2018;Zn;Essence;48.18
2010;HAP;Essence;0.21
2011;HAP;Essence;0.2
2012;HAP;Essence;0.18
2013;HAP;Essence;0.18
2014;HAP;Essence;0.18
2015;HAP;Essence;0.18
2016;HAP;Essence;0.19
2017;HAP;Essence;0.2
2018;HAP;Essence;0.22
2010;PCDD-F;Essence;1.81
2011;PCDD-F;Essence;1.56
2012;PCDD-F;Essence;1.31
2013;PCDD-F;Essence;1.18
2014;PCDD-F;Essence;1.1
2015;PCDD-F;Essence;1.02
2016;PCDD-F;Essence;0.99
2017;PCDD-F;Essence;0.97
2018;PCDD-F;Essence;0.97
2010;SO2;Essence;0.13
2011;SO2;Essence;0.12
2012;SO2;Essence;0.11
2013;SO2;Essence;0.11
2014;SO2;Essence;0.11
2015;SO2;Essence;0.11
2016;SO2;Essence;0.11
2017;SO2;Essence;0.12
2018;SO2;Essence;0.13
