Année;Polluant;Fuel;Emissions;Type de véhicule
2003;PM10;GNV;0.0;Poids lours
2004;PM10;GNV;0.0;Poids lours
2005;PM10;GNV;0.0;Poids lours
2006;PM10;GNV;0.0;Poids lours
2007;PM10;GNV;0.0;Poids lours
2008;PM10;GNV;0.0;Poids lours
2009;PM10;GNV;0.0;Poids lours
1990;PM2,5;GNV;0.0;Poids lours
1991;PM2,5;GNV;0.0;Poids lours
1992;PM2,5;GNV;0.0;Poids lours
1993;PM2,5;GNV;0.0;Poids lours
1994;PM2,5;GNV;0.0;Poids lours
1995;PM2,5;GNV;0.0;Poids lours
1996;PM2,5;GNV;0.0;Poids lours
1997;PM2,5;GNV;0.0;Poids lours
1998;PM2,5;GNV;0.0;Poids lours
1999;PM2,5;GNV;0.0;Poids lours
2000;PM2,5;GNV;0.0;Poids lours
2001;PM2,5;GNV;0.0;Poids lours
2002;PM2,5;GNV;0.0;Poids lours
2003;PM2,5;GNV;0.0;Poids lours
2004;PM2,5;GNV;0.0;Poids lours
2005;PM2,5;GNV;0.0;Poids lours
2006;PM2,5;GNV;0.0;Poids lours
2007;PM2,5;GNV;0.0;Poids lours
2008;PM2,5;GNV;0.0;Poids lours
2009;PM2,5;GNV;0.0;Poids lours
1990;PM1;GNV;0.0;Poids lours
1991;PM1;GNV;0.0;Poids lours
1992;PM1;GNV;0.0;Poids lours
1993;PM1;GNV;0.0;Poids lours
1994;PM1;GNV;0.0;Poids lours
1995;PM1;GNV;0.0;Poids lours
1996;PM1;GNV;0.0;Poids lours
1997;PM1;GNV;0.0;Poids lours
1998;PM1;GNV;0.0;Poids lours
1999;PM1;GNV;0.0;Poids lours
2000;PM1;GNV;0.0;Poids lours
2001;PM1;GNV;0.0;Poids lours
2002;PM1;GNV;0.0;Poids lours
2003;PM1;GNV;0.0;Poids lours
2004;PM1;GNV;0.0;Poids lours
2005;PM1;GNV;0.0;Poids lours
2006;PM1;GNV;0.0;Poids lours
2007;PM1;GNV;0.0;Poids lours
2008;PM1;GNV;0.0;Poids lours
2009;PM1;GNV;0.0;Poids lours
1990;BC;GNV;0.0;Poids lours
1991;BC;GNV;0.0;Poids lours
1992;BC;GNV;0.0;Poids lours
1993;BC;GNV;0.0;Poids lours
1994;BC;GNV;0.0;Poids lours
1995;BC;GNV;0.0;Poids lours
1996;BC;GNV;0.0;Poids lours
1997;BC;GNV;0.0;Poids lours
1998;BC;GNV;0.0;Poids lours
1999;BC;GNV;0.0;Poids lours
2000;BC;GNV;0.0;Poids lours
2001;BC;GNV;0.0;Poids lours
2002;BC;GNV;0.0;Poids lours
2003;BC;GNV;0.0;Poids lours
2004;BC;GNV;0.0;Poids lours
2005;BC;GNV;0.0;Poids lours
2006;BC;GNV;0.0;Poids lours
2007;BC;GNV;0.0;Poids lours
2008;BC;GNV;0.0;Poids lours
2009;BC;GNV;0.0;Poids lours
1990;du;GNV;0.0;Poids lours
1991;du;GNV;0.0;Poids lours
1992;du;GNV;0.0;Poids lours
1993;du;GNV;0.0;Poids lours
1994;du;GNV;0.0;Poids lours
