Année;Essence;Diesel;Electriques;Emissions
2008;1.9;0.11;0;Cu
2009;2.1;0.12;0;Cu
1990;40;0;0;Pb
1991;27;0;0;Pb
1992;19;0;0;Pb
1993;22;0;0;Pb
1994;17;0;0;Pb
1995;14;0;0;Pb
1996;12;0;0;Pb
1997;14;0;0;Pb
1998;15;0;0;Pb
1999;12;0;0;Pb
2000;0.78;0;0;Pb
2001;0.65;0;0;Pb
2002;0.71;0;0;Pb
2003;0.72;0;0;Pb
2004;0.77;0;0;Pb
2005;0.80;0;0;Pb
2006;0.83;0.04;0;Pb
2007;0.84;0.04;0;Pb
2008;0.91;0.05;0;Pb
2009;0.99;0.06;0;Pb
1990;4.7;0;0;Zn
1991;4.4;0;0;Zn
1992;4.3;0;0;Zn
1993;5.0;0.027;0;Zn
1994;4.2;0.041;0;Zn
1995;3.5;0.055;0;Zn
1996;3.4;0.068;0;Zn
1997;4.0;0.080;0;Zn
1998;4.7;0.090;0;Zn
1999;4.7;0.098;0;Zn
2000;4.9;0.10;0;Zn
2001;5.2;0.11;0;Zn
2002;5.4;0.11;0;Zn
2003;5.3;0.11;0;Zn
2004;5.4;0.11;0;Zn
2005;5.5;0.11;0;Zn
2006;5.4;0.12;0;Zn
2007;5.5;0.13;0;Zn
2008;5.8;0.14;0;Zn
2009;6.2;0.16;0;Zn
1990;0.02;0;0;HAP
1991;0.02;0;0;HAP
1992;0.02;0;0;HAP
1993;0.02;0;0;HAP
1994;0.02;0;0;HAP
1995;0.02;0;0;HAP
1996;0.02;0;0;HAP
1997;0.02;0;0;HAP
1998;0.02;0;0;HAP
1999;0.03;0;0;HAP
2000;0.03;0;0;HAP
2001;0.03;0;0;HAP
2002;0.03;0;0;HAP
2003;0.03;0;0;HAP
2004;0.04;0;0;HAP
2005;0.04;0;0;HAP
2006;0.04;0;0;HAP
2007;0.04;0;0;HAP
2008;0.04;0;0;HAP
2009;0.05;0;0;HAP
1990;0.20;0;0;PCDD-F
1991;0.19;0;0;PCDD-F
1992;0.20;0;0;PCDD-F
1993;0.24;0;0;PCDD-F
1994;0.21;0.01;0;PCDD-F
1995;0.18;0.02;0;PCDD-F
1996;0.18;0.02;0;PCDD-F
1997;0.22;0.02;0;PCDD-F
1998;0.27;0.03;0;PCDD-F
1999;0.28;0.03;0;PCDD-F
2000;0.30;0.03;0;PCDD-F
2001;0.34;0.03;0;PCDD-F
2002;0.37;0.03;0;PCDD-F
2003;0.38;0.03;0;PCDD-F
2004;0.41;0.03;0;PCDD-F
2005;0.43;0.03;0;PCDD-F
2006;0.43;0.04;0;PCDD-F
