Année;Diesel;Essence;GPL;GNV;Electriques;Emissions
2015;13.69;1.02;0.02;0;0;PCDD-F
2016;12.86;0.99;0.02;0;0;PCDD-F
2017;11.50;0.97;0.01;0;0;PCDD-F
2018;10.23;0.97;0.01;0;0;PCDD-F
2010;0.33;0.13;0.012;0;0;SO2
2011;0.34;0.12;0.013;0;0;SO2
2012;0.35;0.11;0.012;0;0;SO2
2013;0.34;0.11;0.010;0;0;SO2
2014;0.35;0.11;0.009;0;0;SO2
2015;0.36;0.11;0.008;0;0;SO2
2016;0.36;0.11;0.007;0;0;SO2
2017;0.35;0.12;0.006;0;0;SO2
2018;0.33;0.13;0.006;0;0;SO2
2010;0.54;0.22;0.004;0;0;Ni
2011;0.56;0.21;0.005;0;0;Ni
2012;0.58;0.19;0.005;0;0;Ni
2013;0.59;0.19;0.004;0;0;Ni
2014;0.60;0.19;0.004;0;0;Ni
2015;0.62;0.19;0.004;0;0;Ni
2016;0.63;0.20;0.003;0;0;Ni
2017;0.61;0.21;0.003;0;0;Ni
2018;0.60;0.22;0.003;0.00;0.002;Ni
2010;436;1698;0;0;0;benzène
2011;366;1314;0;0;0;benzène
2012;338;1103;0;0;0;benzène
2013;280;956;0;0;0;benzène
2014;247;814;0;0;0;benzène
2015;232;810;0;0;0;benzène
2016;200;752;0;0;0;benzène
2017;184;713;0;0;0;benzène
2018;157;659;0;0;0;benzène
