Année;Régions;Départements;Essence+Superéthanol;Electricité-Essence;Gazole;Essence-GPL;Electricité;Gazole-électricité;Autres et non détectés;Total
2018;Nouvelle-Aquitaine;Charente;42112;1291;132882;746;429;282;12;177754
2018;Nouvelle-Aquitaine;Charente-Maritime;94825;3613;232578;1764;880;505;23;334188
2018;Occitanie;Hérault;171634;5121;398377;2470;1246;767;73;579688
2018;Occitanie;Pyrénées-Orientales;74771;1769;165473;757;419;312;16;243517
2018;Occitanie;Tarn;50844;1181;145515;1071;474;305;20;199410
2018;Occitanie;Ariège;17156;641;57608;473;142;93;29;76142
2018;Occitanie;Gard;110167;3087;270666;1571;853;538;34;386916
2018;Occitanie;Aveyron;32241;766;110277;557;266;288;14;144409
2018;Occitanie;Haute-Garonne;207655;6665;472219;3530;2187;1306;111;693673
2018;Occitanie;Lot;22034;676;66779;520;201;152;9;90371
2018;Occitanie;Aude;47647;1246;134901;686;347;243;13;185083
2018;Occitanie;Tarn-et-Garonne;28128;742;101155;754;297;205;10;131291
2018;Occitanie;Hautes-Pyrénées;31620;867;85422;777;268;147;15;119116
2018;Occitanie;Gers;20793;810;78706;442;229;156;41;101177
2018;Occitanie;Lozère;7923;185;30666;148;66;76;3;39067
2018;Pays de la Loire;Vendée;91411;3513;260157;1495;1155;620;20;358371
2018;Pays de la Loire;Mayenne;33764;845;110443;1111;277;253;21;146714
2018;Pays de la Loire;Sarthe;75287;2299;185915;1790;559;409;30;266289
2018;Pays de la Loire;Maine-et-Loire;97796;3165;272400;2090;1034;592;49;377126
2018;Pays de la Loire;Loire-Atlantique;210847;6198;458226;4217;1764;994;310;682556
2018;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;255077;6542;306628;2224;2002;750;116;573339
2018;Provence-Alpes-Côte d'Azur;Vaucluse;88552;2457;215011;1495;729;478;37;308759
2018;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;335803;8489;674213;4246;2483;1392;221;1026847
2018;Provence-Alpes-Côte d'Azur;Hautes-Alpes;21478;656;51040;542;169;119;11;74015
2018;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;24581;807;61406;527;199;149;6;87675
2018;Provence-Alpes-Côte d'Azur;Var;219193;5985;354684;2303;1399;751;52;584367
