Année;Régions;Départements;Fuel;Nb_véhicules
2011;Occitanie;Aveyron;Gazole;38655
2011;Occitanie;Haute-Garonne;Gazole;119108
2011;Occitanie;Lot;Gazole;23641
2011;Occitanie;Aude;Gazole;39765
2011;Occitanie;Tarn-et-Garonne;Gazole;29939
2011;Occitanie;Hautes-Pyrénées;Gazole;24039
2011;Occitanie;Gers;Gazole;27452
2011;Occitanie;Lozère;Gazole;12217
2011;Pays de la Loire;Vendée;Gazole;80314
2011;Pays de la Loire;Mayenne;Gazole;34285
2011;Pays de la Loire;Sarthe;Gazole;55123
2011;Pays de la Loire;Maine-et-Loire;Gazole;80986
2011;Pays de la Loire;Loire-Atlantique;Gazole;139171
2011;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Gazole;92474
2011;Provence-Alpes-Côte d'Azur;Vaucluse;Gazole;71926
2011;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Gazole;188940
2011;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gazole;18131
2011;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Gazole;19977
2011;Provence-Alpes-Côte d'Azur;Var;Gazole;101238
2011;Île-de-France;Essonne;Gazole;95180
2011;Île-de-France;Val-d'Oise;Gazole;92483
2011;Île-de-France;Seine-et-Marne;Gazole;107373
2011;Île-de-France;Seine-Saint-Denis;Gazole;139588
2011;Île-de-France;Paris;Gazole;126298
2011;Île-de-France;Hauts-de-Seine;Gazole;132019
2011;Île-de-France;Val-de-Marne;Gazole;91109
2011;Île-de-France;Yvelines;Gazole;106294
2012;Auvergne-Rhône-Alpes;Ain;Gazole;61020
2012;Auvergne-Rhône-Alpes;Allier;Gazole;36418
2012;Auvergne-Rhône-Alpes;Haute-Loire;Gazole;27039
2012;Auvergne-Rhône-Alpes;Savoie;Gazole;52657
2012;Auvergne-Rhône-Alpes;Rhône;Gazole;193491
2012;Auvergne-Rhône-Alpes;Ardèche;Gazole;36332
2012;Auvergne-Rhône-Alpes;Puy-de-Dôme;Gazole;65125
2012;Auvergne-Rhône-Alpes;Haute-Savoie;Gazole;77948
2012;Auvergne-Rhône-Alpes;Loire;Gazole;76995
2012;Auvergne-Rhône-Alpes;Drôme;Gazole;63033
2012;Auvergne-Rhône-Alpes;Cantal;Gazole;19838
2012;Auvergne-Rhône-Alpes;Isère;Gazole;125399
2012;Bourgogne-Franche-Comté;Doubs;Gazole;49809
2012;Bourgogne-Franche-Comté;Côte-d'Or;Gazole;58072
2012;Bourgogne-Franche-Comté;Haute-Saône;Gazole;25799
2012;Bourgogne-Franche-Comté;Yonne;Gazole;40151
2012;Bourgogne-Franche-Comté;Jura;Gazole;29477
2012;Bourgogne-Franche-Comté;Nièvre;Gazole;23609
