Classes de PTAC;Année;Fuel;Nb_véhicules
  21,1 à 26,0 tonnes;2016;Electricité;0
  26,1 tonnes et plus;2016;Electricité;0
  Non déterminée;2016;Electricité;0
  3,6 à 6,0 tonnes;2017;Electricité;83
  6,1 à 10,9 tonnes;2017;Electricité;3
  11,0 à 19,0 tonnes;2017;Electricité;4
  19,1 à  21,0 tonnes;2017;Electricité;0
  21,1 à 26,0 tonnes;2017;Electricité;0
  26,1 tonnes et plus;2017;Electricité;0
  Non déterminée;2017;Electricité;0
  3,6 à 6,0 tonnes;2018;Electricité;84
  6,1 à 10,9 tonnes;2018;Electricité;6
  11,0 à 19,0 tonnes;2018;Electricité;4
  19,1 à  21,0 tonnes;2018;Electricité;0
  21,1 à 26,0 tonnes;2018;Electricité;0
  26,1 tonnes et plus;2018;Electricité;0
  Non déterminée;2018;Electricité;0
  3,6 à 6,0 tonnes;2019;Electricité;85
  6,1 à 10,9 tonnes;2019;Electricité;6
  11,0 à 19,0 tonnes;2019;Electricité;6
  19,1 à  21,0 tonnes;2019;Electricité;0
  21,1 à 26,0 tonnes;2019;Electricité;0
  26,1 tonnes et plus;2019;Electricité;0
  Non déterminée;2019;Electricité;0
  3,6 à 6,0 tonnes;2010;Essence-GPL;1
  6,1 à 10,9 tonnes;2010;Essence-GPL;1
  11,0 à 19,0 tonnes;2010;Essence-GPL;0
  19,1 à  21,0 tonnes;2010;Essence-GPL;0
  21,1 à 26,0 tonnes;2010;Essence-GPL;0
  26,1 tonnes et plus;2010;Essence-GPL;1
  Non déterminée;2010;Essence-GPL;0
  3,6 à 6,0 tonnes;2011;Essence-GPL;1
  6,1 à 10,9 tonnes;2011;Essence-GPL;1
  11,0 à 19,0 tonnes;2011;Essence-GPL;1
  19,1 à  21,0 tonnes;2011;Essence-GPL;0
  21,1 à 26,0 tonnes;2011;Essence-GPL;0
  26,1 tonnes et plus;2011;Essence-GPL;1
  Non déterminée;2011;Essence-GPL;0
  3,6 à 6,0 tonnes;2012;Essence-GPL;2
  6,1 à 10,9 tonnes;2012;Essence-GPL;1
  11,0 à 19,0 tonnes;2012;Essence-GPL;2
  19,1 à  21,0 tonnes;2012;Essence-GPL;0
  21,1 à 26,0 tonnes;2012;Essence-GPL;0
  26,1 tonnes et plus;2012;Essence-GPL;1
  Non déterminée;2012;Essence-GPL;0
  3,6 à 6,0 tonnes;2013;Essence-GPL;2
  6,1 à 10,9 tonnes;2013;Essence-GPL;1
  11,0 à 19,0 tonnes;2013;Essence-GPL;3
  19,1 à  21,0 tonnes;2013;Essence-GPL;0
  21,1 à 26,0 tonnes;2013;Essence-GPL;0
  26,1 tonnes et plus;2013;Essence-GPL;1
  Non déterminée;2013;Essence-GPL;0
  3,6 à 6,0 tonnes;2014;Essence-GPL;2
  6,1 à 10,9 tonnes;2014;Essence-GPL;1
  11,0 à 19,0 tonnes;2014;Essence-GPL;2
  19,1 à  21,0 tonnes;2014;Essence-GPL;0
  21,1 à 26,0 tonnes;2014;Essence-GPL;0
  26,1 tonnes et plus;2014;Essence-GPL;1
  Non déterminée;2014;Essence-GPL;0
