Année;Régions;Départements;Fuel;Nb_véhicules
2012;Bretagne;Finistère;Essence+Superéthanol;155589
2012;Centre-Val de Loire;Loir-et-Cher;Essence+Superéthanol;53836
2012;Centre-Val de Loire;Loiret;Essence+Superéthanol;117911
2012;Centre-Val de Loire;Indre-et-Loire;Essence+Superéthanol;103408
2012;Centre-Val de Loire;Eure-et-Loir;Essence+Superéthanol;70940
2012;Centre-Val de Loire;Indre;Essence+Superéthanol;31473
2012;Centre-Val de Loire;Cher;Essence+Superéthanol;49938
2012;Corse;Corse-du-Sud;Essence+Superéthanol;41355
2012;Corse;Haute-Corse;Essence+Superéthanol;39004
2012;Grand Est;Bas-Rhin;Essence+Superéthanol;212872
2012;Grand Est;Vosges;Essence+Superéthanol;60046
2012;Grand Est;Marne;Essence+Superéthanol;127902
2012;Grand Est;Meurthe-et-Moselle;Essence+Superéthanol;126005
2012;Grand Est;Haute-Marne;Essence+Superéthanol;25316
2012;Grand Est;Meuse;Essence+Superéthanol;26494
2012;Grand Est;Aube;Essence+Superéthanol;47839
2012;Grand Est;Haut-Rhin;Essence+Superéthanol;168465
2012;Grand Est;Moselle;Essence+Superéthanol;195527
2012;Grand Est;Ardennes;Essence+Superéthanol;37799
2012;Hauts-de-France;Somme;Essence+Superéthanol;75822
2012;Hauts-de-France;Nord;Essence+Superéthanol;380936
2012;Hauts-de-France;Oise;Essence+Superéthanol;183262
2012;Hauts-de-France;Aisne;Essence+Superéthanol;84979
2012;Hauts-de-France;Pas-de-Calais;Essence+Superéthanol;193069
2012;Normandie;Eure;Essence+Superéthanol;88066
2012;Normandie;Orne;Essence+Superéthanol;37783
2012;Normandie;Manche;Essence+Superéthanol;69657
2012;Normandie;Seine-Maritime;Essence+Superéthanol;233212
2012;Normandie;Calvados;Essence+Superéthanol;111042
2012;Nouvelle-Aquitaine;Landes;Essence+Superéthanol;65909
2012;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Essence+Superéthanol;127772
2012;Nouvelle-Aquitaine;Dordogne;Essence+Superéthanol;60607
2012;Nouvelle-Aquitaine;Vienne;Essence+Superéthanol;63317
2012;Nouvelle-Aquitaine;Gironde;Essence+Superéthanol;272701
2012;Nouvelle-Aquitaine;Deux-Sèvres;Essence+Superéthanol;69447
2012;Nouvelle-Aquitaine;Haute-Vienne;Essence+Superéthanol;64430
2012;Nouvelle-Aquitaine;Creuse;Essence+Superéthanol;16237
2012;Nouvelle-Aquitaine;Corrèze;Essence+Superéthanol;40602
2012;Nouvelle-Aquitaine;Lot-et-Garonne;Essence+Superéthanol;46078
2012;Nouvelle-Aquitaine;Charente;Essence+Superéthanol;51571
2012;Nouvelle-Aquitaine;Charente-Maritime;Essence+Superéthanol;104783
2012;Occitanie;Hérault;Essence+Superéthanol;197871
2012;Occitanie;Pyrénées-Orientales;Essence+Superéthanol;85116
2012;Occitanie;Tarn;Essence+Superéthanol;57069
2012;Occitanie;Ariège;Essence+Superéthanol;20607
2012;Occitanie;Gard;Essence+Superéthanol;128632
2012;Occitanie;Aveyron;Essence+Superéthanol;36998
2012;Occitanie;Haute-Garonne;Essence+Superéthanol;220244
2012;Occitanie;Lot;Essence+Superéthanol;25743
2012;Occitanie;Aude;Essence+Superéthanol;54778
2012;Occitanie;Tarn-et-Garonne;Essence+Superéthanol;32723
2012;Occitanie;Hautes-Pyrénées;Essence+Superéthanol;37011
