Année;Régions;Départements;Gazole;Essence;Essence-GPL;Electricité;Autres et non  déterminées;Total
2019;Grand Est;Haut-Rhin;63764;2215;171;396;280;66826
2019;Grand Est;Moselle;77086;1650;87;230;138;79191
2019;Grand Est;Ardennes;25778;574;59;59;53;26523
2019;Hauts-de-France;Somme;57877;842;113;324;91;59247
2019;Hauts-de-France;Nord;180248;2722;676;1388;547;185581
2019;Hauts-de-France;Oise;115238;1241;165;193;210;117047
2019;Hauts-de-France;Aisne;53717;894;73;125;99;54908
2019;Hauts-de-France;Pas-de-Calais;108684;1698;226;493;118;111219
2019;Normandie;Eure;58675;1058;119;167;57;60076
2019;Normandie;Orne;35910;407;58;101;21;36497
2019;Normandie;Manche;57907;993;80;133;57;59170
2019;Normandie;Seine-Maritime;126348;2353;379;889;293;130262
2019;Normandie;Calvados;72402;1035;183;557;87;74264
2019;Nouvelle-Aquitaine;Landes;46433;621;73;119;52;47298
2019;Nouvelle-Aquitaine;Pyrénées-Atlantiques;72543;1044;146;468;52;74253
2019;Nouvelle-Aquitaine;Dordogne;53008;541;93;130;47;53819
2019;Nouvelle-Aquitaine;Vienne;48951;566;87;405;37;50046
2019;Nouvelle-Aquitaine;Gironde;163853;2101;448;1405;443;168250
2019;Nouvelle-Aquitaine;Deux-Sèvres;49775;587;82;133;42;50619
2019;Nouvelle-Aquitaine;Haute-Vienne;37236;479;45;341;75;38176
2019;Nouvelle-Aquitaine;Creuse;15068;199;14;41;10;15332
2019;Nouvelle-Aquitaine;Corrèze;29416;389;39;90;34;29968
2019;Nouvelle-Aquitaine;Lot-et-Garonne;43736;413;70;1102;59;45380
2019;Nouvelle-Aquitaine;Charente;42329;462;49;173;38;43051
2019;Nouvelle-Aquitaine;Charente-Maritime;77414;1119;146;249;37;78965
2019;Occitanie;Hérault;113429;1645;246;664;170;116154
2019;Occitanie;Pyrénées-Orientales;45615;798;64;101;180;46758
2019;Occitanie;Tarn;42054;541;74;368;42;43079
2019;Occitanie;Ariège;17359;254;58;45;32;17748
2019;Occitanie;Gard;81935;1326;139;251;131;83782
2019;Occitanie;Aveyron;38853;385;42;72;40;39392
2019;Occitanie;Haute-Garonne;124900;1501;231;686;428;127746
2019;Occitanie;Lot;23024;272;38;51;18;23403
2019;Occitanie;Aude;40165;585;51;120;42;40963
2019;Occitanie;Tarn-et-Garonne;31004;289;48;68;126;31535
2019;Occitanie;Hautes-Pyrénées;24798;355;44;82;29;25308
2019;Occitanie;Gers;27591;269;71;68;27;28026
2019;Occitanie;Lozère;11772;141;13;13;10;11949
2019;Pays de la Loire;Vendée;82832;1048;102;259;73;84314
2019;Pays de la Loire;Mayenne;33920;393;87;89;23;34512
